,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
0,6082547922,"12:11, 20 lutego 2021",12950.0,BMW,Seria 3,318Ci,E46 (1998-2007),1895.0,118.0,182000,Coupe,Nie podano,Manualna,Benzyna,2000,2.0,5.0,Niebieski,Używane
1,6082548400,"12:11, 20 lutego 2021",41600.0,Mercedes-Benz,Klasa C,Nie podano,W204 (2007-2014),1796.0,184.0,222400,Kombi,Niemcy,Automatyczna,Benzyna,2009,5.0,5.0,Biały,Używane
2,6082548276,"12:11, 20 lutego 2021",19500.0,Volkswagen,Passat,2.0 TDI 4Mot Comfortline,B6 (2005-2010),1968.0,140.0,241000,Kombi,Polska,Manualna,Diesel,2009,5.0,5.0,Niebieski,Używane
3,6081239345,"12:11, 20 lutego 2021",58400.0,Toyota,Prius,Hybrid,IV (2015-2020),1798.0,98.0,91220,Kompakt,Nie podano,Automatyczna,Hybryda,2016,5.0,5.0,Zielony,Używane
4,6082548118,"12:11, 20 lutego 2021",72900.0,BMW,Seria 5,F10/F11 (2009-2017),F10/F11 (2009-2017),2993.0,300.0,259800,Kombi,Niemcy,Automatyczna,Diesel,2010,5.0,5.0,Inny kolor,Używane
5,6081503126,"12:10, 20 lutego 2021",20900.0,Fiat,Bravo,1.4 T-Jet 16V Sport,II (2007-),1368.0,150.0,164000,Kompakt,Szwajcaria,Manualna,Benzyna,2008,5.0,5.0,Czarny,Używane
6,6082032212,"12:10, 20 lutego 2021",27640.0,Audi,A4,2.0 TDI,B8 (2007-2015),1968.0,120.0,260000,Kombi,Nie podano,Manualna,Diesel,2009,5.0,5.0,Biały,Używane
7,6081491191,"12:10, 20 lutego 2021",28900.0,Audi,A4,Avant 2.0 TDI DPF,B8 (2007-2015),1968.0,170.0,319000,Kombi,Niemcy,Manualna,Diesel,2008,5.0,5.0,Czarny,Używane
8,6081160998,"12:09, 20 lutego 2021",47900.0,Opel,Mokka,1.4 T Cosmo S&S,Nie podano,1364.0,140.0,46900,SUV,Niemcy,Manualna,Benzyna,2014,5.0,5.0,Biały,Używane
9,6081006965,"12:09, 20 lutego 2021",27900.0,Ford,C-MAX,1.6 Ambiente,I (2003-2010),1596.0,105.0,136000,Minivan,Niemcy,Manualna,Benzyna,2011,5.0,5.0,Szary,Używane
10,6079546225,"12:09, 20 lutego 2021",59500.0,Peugeot,208,1.2 PureTech Active S&S,Nie podano,1199.0,75.0,5,Auta miejskie,Nie podano,Manualna,Benzyna,2020,5.0,5.0,Żółty,Używane
11,6080789973,"12:09, 20 lutego 2021",39700.0,Volkswagen,Polo,1.0,VI (2017-),999.0,60.0,27070,Auta miejskie,Nie podano,Manualna,Benzyna,2017,5.0,5.0,Czerwony,Używane
12,6077245129,"12:09, 20 lutego 2021",262550.0,BMW,Seria 3,330e M Sport sport,G20 (2019-),1998.0,184.0,5,Sedan,Nie podano,Automatyczna,Hybryda,2020,5.0,5.0,Biały,Nowe
13,6077097041,"12:09, 20 lutego 2021",639000.0,BMW,M5,Competition,Nie podano,4395.0,625.0,5000,Sedan,Nie podano,Automatyczna,Benzyna,2020,4.0,5.0,Czarny,Nowe
14,6082548175,"12:09, 20 lutego 2021",10900.0,Volkswagen,Touran,I (2003-2010),I (2003-2010),1900.0,105.0,267000,Minivan,Niemcy,Manualna,Diesel,2005,5.0,5.0,Szary,Używane
15,6082548171,"12:08, 20 lutego 2021",12900.0,Škoda,Octavia,1.9 TDI Elegance,II (2004-2013),1896.0,105.0,286000,Kombi,Polska,Manualna,Diesel,2007,5.0,5.0,Czarny,Używane
16,6082548164,"12:08, 20 lutego 2021",4999.0,Citroën,Xsara Picasso,1.8i Exclusive,Nie podano,1749.0,117.0,153000,Minivan,Nie podano,Manualna,Benzyna,2001,5.0,5.0,Srebrny,Używane
17,6082107438,"12:08, 20 lutego 2021",8890.0,Opel,Meriva,1.6 16V Enjoy,I (2002-2010),1598.0,100.0,158080,Minivan,Niemcy,Manualna,Benzyna,2003,5.0,5.0,Szary,Używane
18,6068878925,"12:07, 20 lutego 2021",83900.0,Volkswagen,Passat,B8 (2014-),B8 (2014-),1395.0,150.0,8818,Sedan,Polska,Manualna,Benzyna,2018,5.0,5.0,Brązowy,Używane
19,6082548207,"12:07, 20 lutego 2021",86500.0,Toyota,Land Cruiser,3.0 D Sol,IV (2002-2009),2982.0,173.0,209000,SUV,Polska,Automatyczna,Diesel,2008,5.0,8.0,Czarny,Używane
20,6082107459,"12:07, 20 lutego 2021",48000.0,Opel,Astra,Nie podano,K (2015-),1399.0,125.0,44019,Kompakt,Polska,Manualna,Benzyna,2016,5.0,5.0,Czerwony,Używane
21,6082107454,"12:07, 20 lutego 2021",93900.0,Nissan,X-Trail,2.0 dCi Tekna Xtronic 4WD,III (2014-),1995.0,177.0,58983,SUV,Polska,Automatyczna,Diesel,2017,5.0,5.0,Zielony,Używane
22,6081601196,"12:06, 20 lutego 2021",142900.0,Mercedes-Benz,Klasa E,220 d 4Matic T 9G-TRONIC,W213 (2016-),1950.0,194.0,92000,Kombi,Polska,Automatyczna,Diesel,2017,5.0,5.0,Czarny,Używane
23,6079395409,"12:06, 20 lutego 2021",47900.0,Audi,A6,3.0 TDI Quattro S tronic,C7 (2011-2018),2967.0,204.0,246000,Sedan,Belgia,Automatyczna,Diesel,2011,5.0,5.0,Czarny,Używane
24,6080494040,"12:06, 20 lutego 2021",21000.0,Seat,Leon,2.0 TDI DPF,II (2005-2012),1968.0,140.0,230324,Kompakt,Nie podano,Manualna,Diesel,2005,5.0,5.0,Czarny,Używane
25,6082185667,"12:06, 20 lutego 2021",56900.0,Volkswagen,Passat,B8 (2014-),B8 (2014-),,190.0,276000,Kombi,Nie podano,Automatyczna,Diesel,2015,5.0,5.0,Biały,Używane
26,6079549646,"12:05, 20 lutego 2021",28500.0,Hyundai,i20,1.2 Classic,II (2014-),1248.0,75.0,30000,Auta miejskie,Niemcy,Manualna,Benzyna,2016,5.0,5.0,Czarny,Używane
27,6082276538,"12:05, 20 lutego 2021",77900.0,Audi,A6,Nie podano,C7 (2011-2018),2967.0,313.0,219450,Sedan,Niemcy,Automatyczna,Diesel,2012,5.0,5.0,Czarny,Używane
