,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
0,6079290670,"11:41, 14 marca 2021",39900.0,Volkswagen,Tiguan,1.4 TSI CityLine,I (2007-2016),1390.0,122.0,178142,SUV,Niemcy,Manualna,Benzyna,2012,5.0,5.0,Biały,Używane
1,6082069490,"11:40, 14 marca 2021",20900.0,Peugeot,Partner,Nie podano,II (2008-2018),1600.0,110.0,176100,Minivan,Niemcy,Manualna,Diesel,2010,5.0,5.0,Inny kolor,Używane
2,6081989726,"11:40, 14 marca 2021",114900.0,BMW,X1,xDrive18d Sport Line,F48 (2015-),1995.0,150.0,34900,SUV,Polska,Automatyczna,Diesel,2017,5.0,5.0,Inny kolor,Używane
3,6083231060,"11:39, 14 marca 2021",52900.0,Toyota,Verso,1.8 Prestige 7os,Nie podano,1798.0,147.0,162222,Minivan,Szwajcaria,Manualna,Benzyna,2013,5.0,7.0,Szary,Używane
4,6083231004,"11:39, 14 marca 2021",160950.0,BMW,X3,xDrive30i xLine,G01 (2017-),1998.0,252.0,15200,SUV,Nie podano,Automatyczna,Benzyna,2019,5.0,5.0,Czarny,Używane
5,6083231006,"11:39, 14 marca 2021",101900.0,Volkswagen,Passat,2.0 TDI SCR Highline DSG,B8 (2014-),1968.0,150.0,74420,Sedan,Polska,Automatyczna,Diesel,2018,4.0,5.0,Szary,Używane
6,6080825265,"11:39, 14 marca 2021",19999.0,Volkswagen,Passat CC,2.0 TDI,Nie podano,1968.0,170.0,229000,Sedan,Wielka Brytania,Manualna,Diesel,2010,4.0,4.0,Srebrny,Używane
7,6080234902,"11:39, 14 marca 2021",105500.0,Volkswagen,Tiguan,Nie podano,II (2016-),1968.0,150.0,58726,SUV,Niemcy,Manualna,Diesel,2016,5.0,5.0,Czarny,Używane
8,6082935955,"11:37, 14 marca 2021",131000.0,Audi,Q3,35 TFSI mHEV S tronic,Nie podano,1498.0,150.0,10,SUV,Nie podano,Automatyczna,Benzyna,2021,5.0,5.0,Biały,Nowe
9,6083036871,"11:37, 14 marca 2021",22600.0,Renault,Clio,0.9 Energy TCe Zen,IV (2012-2018),898.0,90.0,131000,Auta miejskie,Nie podano,Manualna,Benzyna,2014,5.0,5.0,Biały,Używane
10,6083228241,"11:36, 14 marca 2021",54900.0,Suzuki,SX4 S-Cross,Nie podano,Nie podano,1373.0,140.0,42000,Minivan,Niemcy,Manualna,Benzyna,2017,5.0,5.0,Czarny,Używane
11,6080236547,"11:36, 14 marca 2021",55900.0,Seat,Leon,Nie podano,III (2012-),1968.0,150.0,156143,Kombi,Niemcy,Automatyczna,Diesel,2017,5.0,5.0,Niebieski,Używane
12,6067848277,"11:35, 14 marca 2021",230000.0,BMW,M5,Standard,Nie podano,4395.0,560.0,44755,Sedan,Polska,Automatyczna,Benzyna,2014,4.0,5.0,Czarny,Używane
13,6083036549,"11:35, 14 marca 2021",73999.0,Peugeot,3008,1.6 BlueHDi Active S&S,II (2016-),1560.0,120.0,147000,SUV,Nie podano,Manualna,Diesel,2018,5.0,5.0,Niebieski,Używane
14,6083230933,"11:34, 14 marca 2021",15900.0,Fiat,Punto Evo,1.4 8V Dynamic,Nie podano,1368.0,77.0,124183,Kompakt,Niemcy,Manualna,Benzyna,2010,5.0,,Czarny,Używane
15,6082237393,"11:34, 14 marca 2021",100850.0,Škoda,Octavia,1.5 TSI ACT Ambition,IV (2020-),1498.0,150.0,10,Kombi,Nie podano,Manualna,Benzyna,2020,5.0,5.0,Szary,Nowe
16,6083230890,"11:33, 14 marca 2021",15700.0,Opel,Corsa,1.2 16V,D (2006-2014),1229.0,80.0,132600,Auta miejskie,Nie podano,Manualna,Benzyna,2010,5.0,5.0,Niebieski,Używane
17,6083230860,"11:33, 14 marca 2021",42900.0,Citroën,C4 Cactus,Pure Tech 110 Stop&Start,Nie podano,1199.0,110.0,73000,Kompakt,Polska,Manualna,Benzyna,2016,5.0,5.0,Żółty,Używane
18,6077834284,"11:33, 14 marca 2021",68000.0,BMW,Seria 5,520d xDrive Luxury Line,F10/F11 (2009-2017),1995.0,184.0,215000,Kombi,Polska,Automatyczna,Diesel,2014,5.0,5.0,Inny kolor,Używane
19,6082637323,"11:33, 14 marca 2021",99900.0,Audi,A1,30 TFSI Advanced S tronic,Nie podano,999.0,110.0,1000,Auta miejskie,Polska,Automatyczna,Benzyna,2021,5.0,4.0,Biały,Nowe
20,6083230885,"11:32, 14 marca 2021",39900.0,BMW,Z4,Nie podano,E85/E86 (2002-2008),2000.0,150.0,173339,Kabriolet,Niemcy,Manualna,Benzyna,2006,3.0,2.0,Czarny,Używane
21,6082413783,"11:32, 14 marca 2021",109900.0,Škoda,Karoq,Nie podano,Nie podano,1498.0,150.0,1,SUV,Polska,Automatyczna,Benzyna,2020,5.0,5.0,Biały,Nowe
22,6082843994,"11:32, 14 marca 2021",73900.0,Škoda,Scala,1.0 TSI Style DSG,Nie podano,999.0,115.0,16807,Kompakt,Polska,Automatyczna,Benzyna,2019,5.0,5.0,Czarny,Używane
23,6079186046,"11:31, 14 marca 2021",20900.0,Mercedes-Benz,Klasa E,Nie podano,W211 (2002-2009),1800.0,163.0,218000,Sedan,Niemcy,Automatyczna,Benzyna+LPG,2003,4.0,5.0,Srebrny,Używane
