,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
0,6082684235,"18:01, 3 marca 2021",8500.0,Audi,A6,Nie podano,C5 (1997-2004),2400.0,170.0,279560,Sedan,Nie podano,Manualna,Benzyna,1999,4.0,,Czarny,Używane
1,6082916545,"18:01, 3 marca 2021",227000.0,Mercedes-Benz,GLE,Coupe 350 d 4-Matic,W166 (2015-2019),2987.0,258.0,63000,SUV,Polska,Automatyczna,Diesel,2016,5.0,5.0,Biały,Używane
2,6082916597,"18:01, 3 marca 2021",44500.0,Fiat,Freemont,2.0 Multijet Urban AWD,Nie podano,1956.0,170.0,130000,SUV,Nie podano,Automatyczna,Diesel,2012,5.0,7.0,Biały,Używane
3,6082099385,"18:00, 3 marca 2021",28000.0,BMW,Seria 3,325i,E90/E91/E92/E93 (2005-2012),2497.0,218.0,291536,Sedan,Niemcy,Manualna,Benzyna,2006,5.0,5.0,Inny kolor,Używane
4,6076805424,"18:00, 3 marca 2021",73900.0,Hyundai,I30,1.5 DPI Comfort,III (2017-),1498.0,110.0,5860,Kompakt,Polska,Manualna,Benzyna,2020,5.0,5.0,Srebrny,Używane
5,6082683771,"18:00, 3 marca 2021",18000.0,Volkswagen,Touran,1.4 TSI Cross DSG,I (2003-2010),1390.0,140.0,256000,Minivan,Polska,Automatyczna,Benzyna,2007,5.0,5.0,Inny kolor,Używane
6,6082684206,"18:00, 3 marca 2021",183900.0,Mercedes-Benz,Klasa E,200 d 9G-TRONIC,W213 (2016-),1598.0,160.0,1,Sedan,Nie podano,Automatyczna,Diesel,2021,4.0,5.0,Czarny,Nowe
7,6081495821,"18:00, 3 marca 2021",189500.0,Volkswagen,Arteon,Nie podano,Nie podano,1968.0,200.0,1,Sedan,Polska,Automatyczna,Diesel,2020,5.0,5.0,Srebrny,Nowe
8,6081337094,"18:00, 3 marca 2021",188900.0,Volkswagen,Arteon,Nie podano,Nie podano,1968.0,200.0,1,Sedan,Polska,Automatyczna,Diesel,2020,5.0,5.0,Biały,Nowe
9,6081831761,"18:00, 3 marca 2021",93250.0,Volkswagen,Caddy,Nie podano,IV (2015-2020),2000.0,122.0,5,Kombi,Polska,Manualna,Diesel,2021,5.0,5.0,Srebrny,Nowe
10,6081676893,"18:00, 3 marca 2021",23500.0,Ford,Mondeo,Nie podano,Mk4 (2007-2014),1991.0,147.0,190000,Kombi,Niemcy,Manualna,Benzyna,2007,5.0,5.0,Szary,Używane
11,6082916559,"17:59, 3 marca 2021",33900.0,Opel,Insignia,2.0 CDTI Cosmo,A (2008-2017),1956.0,163.0,195000,Kombi,Niemcy,Automatyczna,Diesel,2014,5.0,5.0,Zielony,Używane
12,6080289694,"17:59, 3 marca 2021",47900.0,Mercedes-Benz,Klasa S,500 L,W221 (2005-2013),5461.0,388.0,146000,Sedan,Francja,Automatyczna,Benzyna,2006,4.0,5.0,Czarny,Używane
13,6082684135,"17:59, 3 marca 2021",6100.0,Honda,Accord,Nie podano,VII (2002-2008),2204.0,,318500,Kombi,Polska,Manualna,Diesel,2003,5.0,5.0,Zielony,Używane
14,6082567211,"17:59, 3 marca 2021",135500.0,Chrysler,Pacifica,Nie podano,Nie podano,3600.0,287.0,23500,Minivan,Stany Zjednoczone,Automatyczna,Benzyna,2019,5.0,7.0,Czarny,Używane
15,6081638357,"17:59, 3 marca 2021",118900.0,Peugeot,2008,Nie podano,Nie podano,1200.0,130.0,5,SUV,Nie podano,Automatyczna,Benzyna,2021,5.0,5.0,Inny kolor,Nowe
16,6081007933,"17:58, 3 marca 2021",19990.0,Chevrolet,Cruze,1.4 T LT+,Nie podano,1364.0,140.0,243132,Sedan,Polska,Manualna,Benzyna+LPG,2012,5.0,5.0,Czarny,Używane
17,6082478876,"17:57, 3 marca 2021",53600.0,Renault,Espace,Nie podano,V (2015-),1600.0,131.0,180000,Minivan,Niemcy,Manualna,Diesel,2015,5.0,5.0,Czarny,Używane
18,6082916476,"17:57, 3 marca 2021",33900.0,Citroën,C5,2.0 HDi Exclusive,III (2008-),1997.0,163.0,239000,Sedan,Luksemburg,Automatyczna,Diesel,2014,5.0,5.0,Srebrny,Używane
19,6080179954,"17:56, 3 marca 2021",36500.0,Opel,Insignia,2.0 CDTI,A (2008-2017),1956.0,160.0,136050,Sedan,Polska,Manualna,Diesel,2013,5.0,5.0,Czarny,Używane
20,6082916265,"17:56, 3 marca 2021",27500.0,Peugeot,508,Nie podano,Nie podano,1560.0,112.0,184000,Sedan,Dania,Manualna,Diesel,2012,5.0,5.0,Czarny,Używane
21,6082916486,"17:55, 3 marca 2021",114899.0,Škoda,Superb,2.0 TDI 4x4 L&K DSG,III (2015-),1968.0,190.0,116500,Kombi,Niemcy,Automatyczna,Diesel,2017,5.0,5.0,Szary,Używane
22,6063968510,"17:55, 3 marca 2021",15900.0,Opel,Corsa,1.2 16V 111,D (2006-2014),1229.0,86.0,154500,Auta miejskie,Nie podano,Manualna,Benzyna,2010,5.0,,Szary,Używane
23,6082684143,"17:55, 3 marca 2021",232949.0,Volkswagen,Caravelle,6.1 2.0 TDI L2 Comfortline DSG,Nie podano,1968.0,150.0,10,Minivan,Nie podano,Automatyczna,Diesel,2021,4.0,8.0,Szary,Nowe
24,6082482322,"17:54, 3 marca 2021",26400.0,Škoda,Octavia,2.0 TDI DPF,III (2013-),1968.0,140.0,152000,Kombi,Niemcy,Manualna,Diesel,2010,5.0,5.0,Czarny,Używane
25,6077771575,"17:54, 3 marca 2021",39000.0,Nissan,Juke,1.6 Acenta,I (2015-2019),1598.0,117.0,69000,SUV,Polska,Manualna,Benzyna,2013,5.0,,Biały,Używane
26,6082914007,"17:54, 3 marca 2021",139900.0,Volvo,XC 60,D4 AWD Inscription,II (2017-),1969.0,190.0,158000,SUV,Niemcy,Automatyczna,Diesel,2017,5.0,5.0,Inny kolor,Używane
27,6079720547,"17:53, 3 marca 2021",114800.0,Ford,Ranger,Autm,Nie podano,3198.0,200.0,9639,SUV,Nie podano,Automatyczna,Diesel,2019,4.0,5.0,Biały,Używane
28,6082362231,"17:52, 3 marca 2021",132090.0,Volkswagen,Caddy,Nie podano,IV (2015-2020),2000.0,122.0,5,Kombi,Polska,Automatyczna,Diesel,2021,5.0,7.0,Szary,Nowe
29,6081537996,"17:51, 3 marca 2021",15200.0,Volkswagen,Golf Plus,1.9 TDI Comfortline,Nie podano,1896.0,105.0,192269,Minivan,Nie podano,Manualna,Diesel,2006,5.0,5.0,Zielony,Używane
30,6082916259,"17:51, 3 marca 2021",14800.0,Opel,Vectra,1.9 CDTI Cosmo,C (2002-2008),1910.0,150.0,221000,Kombi,Nie podano,Manualna,Diesel,2008,4.0,5.0,Czarny,Używane
31,6082916335,"17:51, 3 marca 2021",19900.0,Seat,Altea XL,Nie podano,Nie podano,1394.0,125.0,161000,Minivan,Nie podano,Manualna,Benzyna,2010,5.0,5.0,Biały,Używane
32,6082916357,"17:50, 3 marca 2021",52900.0,Audi,A5,Nie podano,8T (2007-2016),2967.0,204.0,135200,Kompakt,Nie podano,Manualna,Diesel,2014,5.0,5.0,Czarny,Używane
